Date,Price,Open,High,Low,Vol,Change%
"Aug 16, 2011",960.94,960.94,960.94,960.94,-,0.40%
"Aug 17, 2011",946.49,946.49,946.49,946.49,-,-1.50%
"Aug 18, 2011",881.11,881.11,881.11,881.11,-,-6.91%
"Aug 19, 2011",879.88,879.88,879.88,879.88,-,-0.14%
"Aug 22, 2011",869.58,869.58,869.58,869.58,-,-1.17%
"Aug 23, 2011",871.12,871.12,871.12,871.12,-,0.18%
"Aug 24, 2011",884.48,884.48,884.48,884.48,-,1.53%
"Aug 25, 2011",889.73,889.73,889.73,889.73,-,0.59%
"Aug 26, 2011",872.39,872.39,872.39,872.39,-,-1.95%
"Aug 30, 2011",914.95,914.95,914.95,914.95,-,4.88%
"Aug 31, 2011",939.52,939.52,939.52,939.52,-,2.69%
"Sep 01, 2011",955.93,955.93,955.93,955.93,-,1.75%
"Sep 02, 2011",919.59,919.59,919.59,919.59,-,-3.80%
"Sep 05, 2011",873.59,873.59,873.59,873.59,-,-5.00%
"Sep 06, 2011",874.98,874.98,874.98,874.98,-,0.16%
"Sep 07, 2011",911.94,911.94,911.94,911.94,-,4.22%
"Sep 08, 2011",910.75,910.75,910.75,910.75,-,-0.13%
"Sep 09, 2011",870.59,870.59,870.59,870.59,-,-4.41%
"Sep 12, 2011",856.5,856.5,856.5,856.5,-,-1.62%
"Sep 13, 2011",872.12,872.12,872.12,872.12,-,1.82%
"Sep 14, 2011",880.01,880.01,880.01,880.01,-,0.90%
"Sep 15, 2011",917.18,917.18,917.18,917.18,-,4.22%
"Sep 16, 2011",924.48,924.48,924.48,924.48,-,0.80%
"Sep 19, 2011",891.6,891.6,891.6,891.6,-,-3.56%
"Sep 20, 2011",908.2,908.2,908.2,908.2,-,1.86%
"Sep 21, 2011",900.36,900.36,900.36,900.36,-,-0.86%
"Sep 22, 2011",847.82,847.82,847.82,847.82,-,-5.84%
"Sep 23, 2011",866.76,866.76,866.76,866.76,-,2.23%
"Sep 26, 2011",879.14,879.14,879.14,879.14,-,1.43%
"Sep 27, 2011",923.87,923.87,923.87,923.87,-,5.09%
"Sep 28, 2011",905.1,905.1,905.1,905.1,-,-2.03%
"Sep 29, 2011",915.77,915.77,915.77,915.77,-,1.18%
"Sep 30, 2011",880.43,880.43,880.43,880.43,-,-3.86%
"Oct 03, 2011",855.78,855.78,855.78,855.78,-,-2.80%
"Oct 04, 2011",820.94,820.94,820.94,820.94,-,-4.07%
"Oct 05, 2011",850.15,850.15,850.15,850.15,-,3.56%
"Oct 06, 2011",905.95,905.95,905.95,905.95,-,6.56%
